"Journal name"	"Category"	"Total Citations"	"2020 JIF"	"2020 JCI"	"5 Year JIF"	"Immediacy Index"	"Eigenfactor"	"Article Influence Score"	"Total Articles"	"DB"	"Cat"
1	"AGRICULTURAL ENGINEERING - SCIE"	166941	9.642	1.67	9.237	2.742	0.103	1.244	1454	"SCIE"	"AGRICULTURAL ENGINEERING"
2	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	144042	5.279	1.48	5.269	1.027	0.055	0.831	1408	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
3	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	66689	4.034	1.5	4.354	0.928	0.031	0.644	972	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
4	"ALLERGY - SCIE"	63615	10.793	2.34	13.181	8.22	0.07	3.878	269	"SCIE"	"ALLERGY"
5	"ACOUSTICS - SCIE"	49404	1.84	0.8	2.001	0.474	0.022	0.522	805	"SCIE"	"ACOUSTICS"
6	"ANESTHESIOLOGY - SCIE"	45326	6.961	1.85	7.704	1.909	0.031	2.234	214	"SCIE"	"ANESTHESIOLOGY"
7	"AGRONOMY - SCIE"	44914	4.192	1.29	4.712	1.047	0.019	0.972	451	"SCIE"	"AGRONOMY"
8	"AGRONOMY - SCIE"	41583	5.645	1.61	5.749	1.43	0.034	0.774	976	"SCIE"	"AGRONOMY"
8	"AGRICULTURAL ENGINEERING - SCIE"	41583	5.645	1.61	5.749	1.43	0.034	0.774	976	"SCIE"	"AGRICULTURAL ENGINEERING"
9	"ACOUSTICS - SCIE"	41178	3.655	1.18	3.802	1.04	0.025	0.883	501	"SCIE"	"ACOUSTICS"
10	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	38102	3.159	1.27	2.912	0.817	0.014	0.525	376	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
11	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	33805	3.639	1.03	3.803	0.946	0.019	0.587	937	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
12	"ANESTHESIOLOGY - SCIE"	33319	7.892	2.56	8.139	5.479	0.024	2.483	166	"SCIE"	"ANESTHESIOLOGY"
13	"ANESTHESIOLOGY - SCIE"	31391	5.178	1.62	4.962	4.027	0.026	1.408	298	"SCIE"	"ANESTHESIOLOGY"
14	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	30896	3.352	1.6	3.679	0.802	0.014	0.547	749	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
15	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	30607	5.567	1.55	6.064	1.764	0.022	1.217	309	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
16	"ANESTHESIOLOGY - SCIE"	27510	9.166	2.49	9.097	6.01	0.029	2.666	161	"SCIE"	"ANESTHESIOLOGY"
17	"ACOUSTICS - SCIE"	26178	7.491	2.04	7.537	2.311	0.022	0.993	419	"SCIE"	"ACOUSTICS"
18	"ALLERGY - SCIE"	25131	13.146	2.1	9.723	8.355	0.023	2.31	275	"SCIE"	"ALLERGY"
19	"AGRONOMY - SCIE"	25125	5.699	1.84	5.565	1.512	0.013	1.228	245	"SCIE"	"AGRONOMY"
20	"AGRICULTURAL ENGINEERING - SCIE"	24521	5.061	0.89	4.815	1.032	0.013	0.788	325	"SCIE"	"AGRICULTURAL ENGINEERING"
21	"AGRONOMY - SCIE"	24457	5.734	2.03	5.964	1.43	0.021	1.361	335	"SCIE"	"AGRONOMY"
22	"AGRONOMY - SCIE"	24118	5.224	2.08	6.19	1.192	0.016	1.218	191	"SCIE"	"AGRONOMY"
23	"AGRONOMY - SCIE"	22839	2.319	0.86	2.631	1.054	0.008	0.566	270	"SCIE"	"AGRONOMY"
24	"AGRONOMY - SCIE"	22091	4.516	1.71	5.12	1.634	0.016	0.85	405	"SCIE"	"AGRONOMY"
25	"AGRONOMY - SCIE"	19917	2.24	0.85	2.829	0.661	0.008	0.572	410	"SCIE"	"AGRONOMY"
26	"ACOUSTICS - SCIE"	18164	7.299	1.97	7.214	5.147	0.019	1.997	177	"SCIE"	"ACOUSTICS"
27	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	17657	5.565	1.65	5.494	1.181	0.016	0.846	621	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
28	"AGRONOMY - SCIE"	17177	5.537	2.01	5.821	1.713	0.009	0.866	250	"SCIE"	"AGRONOMY"
29	"AGRONOMY - SCIE"	16883	4.845	2.04	4.674	1.213	0.014	0.907	629	"SCIE"	"AGRONOMY"
30	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	15084	3.247	1.52	3.806	0.653	0.007	0.652	268	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
31	"ANESTHESIOLOGY - SCIE"	13711	6.955	2.12	6.211	8.798	0.012	1.669	141	"SCIE"	"ANESTHESIOLOGY"
32	"AGRONOMY - SCIE"	12897	1.895	0.72	2.181	0.417	0.006	0.437	184	"SCIE"	"AGRONOMY"
33	"ACOUSTICS - SCIE"	12787	2.998	0.9	3.051	1.051	0.011	0.732	284	"SCIE"	"ACOUSTICS"
34	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	12482	2.448	1.14	2.843	0.665	0.005	0.522	147	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
35	"AGRONOMY - SCIE"	12426	2.571	1.1	3.11	0.913	0.008	0.575	294	"SCIE"	"AGRONOMY"
