"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"AGRICULTURAL ENGINEERING - SCIE"	1.17248887710251e-06	0.932567499197836	"SCIE"	"AGRICULTURAL ENGINEERING"	14	3909	"2020 JIF"
"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	8.663782335352e-26	0.931294096404317	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"	57	7679	"2020 JIF"
"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	8.68813106464052e-35	0.957986984603182	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	63	10665	"2020 JIF"
"ALLERGY - SCIE"	2.54673810839026e-13	0.936244005127462	"SCIE"	"ALLERGY"	28	2672	"2020 JIF"
"ACOUSTICS - SCIE"	2.80107513978698e-16	0.950653495831761	"SCIE"	"ACOUSTICS"	31	5788	"2020 JIF"
"ANESTHESIOLOGY - SCIE"	1.04147898640961e-13	0.914350705254599	"SCIE"	"ANESTHESIOLOGY"	33	4227	"2020 JIF"
"AGRONOMY - SCIE"	3.92776654035959e-37	0.916299291924429	"SCIE"	"AGRONOMY"	91	13375	"2020 JIF"
"ANATOMY & MORPHOLOGY - SCIE"	2.60526203344421e-06	0.834194710608254	"SCIE"	"ANATOMY & MORPHOLOGY"	21	2909	"2020 JIF"
"AGRICULTURAL ECONOMICS & POLICY - SCIE"	1.36925891887474e-11	0.956203547682705	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"	21	1420	"2020 JIF"
"ANDROLOGY - SCIE"	0.0193013586410221	0.791358153257335	"SCIE"	"ANDROLOGY"	8	991	"2020 JIF"
"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"	4.54075109383148e-74	0.936137862089806	"SCIE"	"COMPUTER SCIENCE, INFORMATION SYSTEMS"	161	43338	"2020 JIF"
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"	6.98859396180276e-19	0.718359508371194	"SCIE"	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"	111	20071	"2020 JIF"
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"	3.07954230501706e-51	0.899943131546804	"SCIE"	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"	139	22943	"2020 JIF"
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"	1.05075725885878e-10	0.749694417009237	"SCIE"	"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"	53	6799	"2020 JIF"
"COMPUTER SCIENCE, CYBERNETICS - SCIE"	6.03840759420298e-14	0.966980573909841	"SCIE"	"COMPUTER SCIENCE, CYBERNETICS"	23	2447	"2020 JIF"
"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE"	1.21068613625144e-16	0.808997171933461	"SCIE"	"CONSTRUCTION & BUILDING TECHNOLOGY"	67	16200	"2020 JIF"
"CRITICAL CARE MEDICINE - SCIE"	1.78706147433097e-25	0.98013610479936	"SCIE"	"CRITICAL CARE MEDICINE"	36	5027	"2020 JIF"
"COMPUTER SCIENCE, THEORY & METHODS - SCIE"	3.44612555537361e-27	0.813598301371077	"SCIE"	"COMPUTER SCIENCE, THEORY & METHODS"	110	13867	"2020 JIF"
"CRYSTALLOGRAPHY - SCIE"	4.194776541956e-08	0.857983866601459	"SCIE"	"CRYSTALLOGRAPHY"	25	6331	"2020 JIF"
"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"	1.04207997964182e-17	0.708054011343826	"SCIE"	"COMPUTER SCIENCE, SOFTWARE ENGINEERING"	108	11726	"2020 JIF"
"CRIMINOLOGY & PENOLOGY - SSCI"	2.30483100162332e-23	0.880133323682573	"SSCI"	"CRIMINOLOGY & PENOLOGY"	69	4478	"2020 JIF"
"DEVELOPMENTAL BIOLOGY - SCIE"	1.92280886447353e-13	0.868345735583994	"SCIE"	"DEVELOPMENTAL BIOLOGY"	41	3736	"2020 JIF"
"DERMATOLOGY - SCIE"	2.6903880197321e-32	0.936917789521596	"SCIE"	"DERMATOLOGY"	69	8781	"2020 JIF"
"DEVELOPMENT STUDIES - SSCI"	6.06770542696278e-15	0.886192461747951	"SSCI"	"DEVELOPMENT STUDIES"	42	3199	"2020 JIF"
"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE"	4.30175895196837e-38	0.918766378661033	"SCIE"	"DENTISTRY, ORAL SURGERY & MEDICINE"	92	10124	"2020 JIF"
"DEMOGRAPHY - SSCI"	8.10220792354143e-10	0.870881271294498	"SSCI"	"DEMOGRAPHY"	29	1679	"2020 JIF"
"CULTURAL STUDIES - SSCI"	0.00223887831981218	0.444174804084317	"SSCI"	"CULTURAL STUDIES"	45	2157	"2020 JIF"
"ECOLOGY - SCIE"	2.93770851316742e-54	0.877656146983543	"SCIE"	"ECOLOGY"	166	22291	"2020 JIF"
"ECONOMICS - SSCI"	4.01400740448795e-135	0.89761150777393	"SSCI"	"ECONOMICS"	376	27272	"2020 JIF"
"EDUCATION & EDUCATIONAL RESEARCH - SSCI"	6.47978243190316e-78	0.858381327061062	"SSCI"	"EDUCATION & EDUCATIONAL RESEARCH"	264	19095	"2020 JIF"
"ENERGY & FUELS - SCIE"	5.87346471199548e-65	0.961972940891485	"SCIE"	"ENERGY & FUELS"	114	51448	"2020 JIF"
